TWEET,true_emoji,pred_emoji
I figured that when it loaded with no pic but I bet it was cute,blush,heart_eyes
*Subway,weary,blush
Bet she won't spit on anybody else,sob,flushed
STARBUCKS,yum,heart_eyes
I bet,sob,wink
Nigga put his girl life in danger and she got shot bet money she doesn't break up with him,sob,smirk
I want it all omg my heart,weary,sob
Starbucks,heart_eyes,yum
I want Starbucks,sob,weary
I bet hoes think they know who I'm talking to.... But they don't,yum,smirk
bet you won't tag her,smirk,weary
The video is so dope,sob,wink
Every since aj &amp; free left haven't been the same,weary,flushed
Craving Starbucks,yum,weary
some McDonald's money,sob,weary
I can relate,heart_eyes,weary
"we both moved on, I bet you still reminiscing.",smirk,flushed
You bet,weary,blush
they bet not try to give me dress code tommrow,sob,wink
Those are the best !,sob,wink
betgo crazy,sob,heart_eyes
You bet! ️,relaxed,wink
Definitely gonna have to when I get home!,yum,sob
Subway for the win,yum,weary
Sky Bet Championship is ready for #PES2017!,heart_eyes,relaxed
I thought of you when I saw that the Rams beat the Seahawks. I bet you're happy!,blush,heart_eyes
u bet Tife u bet!!,yum,grin
when u drive around for 20 mins just to find a Starbucks,heart_eyes,blush
Crying,heart_eyes,sob
started the bad streak of going to Starbucks everyday dammit,sob,heart_eyes
Screaming,sob,grin
Make sure u look both ways,blush,smirk
that's a bet,grin,smirk
I bet benefit Brenda is having a lovely day in the sun whilst I'm at work,weary,wink
Quiero un Subway,grin,sob
I regret not stopping at,sob,weary
Someone bring me subway or chipotle,sob,weary
"I have a headache , I'm hungry and I want Starbucks",weary,heart_eyes
I NEED STARBUCKS,flushed,weary
"dude. that's all i can say is dude, bet not ever try me like that",flushed,relaxed
so badly want a vanilla shake &amp; french fries from mcdonalds,weary,relaxed
That be you bitches best bet,weary,wink
Bet 11inches it is️,relaxed,heart_eyes
i bet,weary,blush
Ciara mcclain can really sing. yall bet not sleep on ha.,weary,wink
FOH that was you I only ate the chicken and stuff you ate ALL that shit don't front,sob,weary
